Batter,Opponent,runs,balls_faced,innings,strike_rate
DJ Hussey,Kochi Tuskers Kerala,21,15,1,140.0
DJ Hussey,Kolkata Knight Riders,90,100,5,90.0
DJ Hussey,Mumbai Indians,203,155,9,130.97
DJ Hussey,Pune Warriors,30,32,3,93.75
DJ Hussey,Rajasthan Royals,125,108,7,115.74
DJ Hussey,Royal Challengers Bengaluru,205,158,8,129.75
DJ Hussey,Sunrisers Hyderabad,72,57,2,126.32
DJ Jacobs,Deccan Chargers,32,20,1,160.0
DJ Jacobs,Delhi Daredevils,1,16,2,6.25
DJ Jacobs,Kings XI Punjab,10,10,1,100.0
DJ Jacobs,Kochi Tuskers Kerala,12,21,1,57.14
DJ Jacobs,Rajasthan Royals,15,15,1,100.0
DJ Jacobs,Royal Challengers Bengaluru,22,16,1,137.5
DJ Malan,Delhi Capitals,26,26,1,100.0
DJ Mitchell,Delhi Capitals,34,26,1,130.77
DJ Mitchell,Gujarat Titans,87,54,2,161.11
DJ Mitchell,Kolkata Knight Riders,25,19,1,131.58
DJ Mitchell,Lucknow Super Giants,11,10,1,110.0
DJ Mitchell,Mumbai Indians,34,34,2,100.0
DJ Mitchell,Punjab Kings,31,20,2,155.0
DJ Mitchell,Rajasthan Royals,22,13,1,169.23
DJ Mitchell,Royal Challengers Bengaluru,42,48,3,87.5
DJ Mitchell,Sunrisers Hyderabad,65,43,2,151.16
DJ Muthuswami,Royal Challengers Bengaluru,1,3,1,33.33
DJ Thornely,Deccan Chargers,8,18,1,44.44
DJ Thornely,Delhi Daredevils,30,24,1,125.0
DJ Thornely,Kolkata Knight Riders,1,6,1,16.67
DJ Thornely,Royal Challengers Bengaluru,0,5,1,0.0
DJ Willey,Kolkata Knight Riders,49,58,3,84.48
DJ Willey,Rajasthan Royals,4,4,2,100.0
DJG Sammy,Chennai Super Kings,49,33,4,148.48
DJG Sammy,Delhi Daredevils,18,20,1,90.0
DJG Sammy,Kings XI Punjab,15,14,2,107.14
DJG Sammy,Kolkata Knight Riders,60,56,4,107.14
DJG Sammy,Mumbai Indians,11,5,2,220.0
DJG Sammy,Rajasthan Royals,118,92,4,128.26
DJG Sammy,Royal Challengers Bengaluru,18,12,2,150.0
DJG Sammy,Sunrisers Hyderabad,6,9,1,66.67
DJM Short,Delhi Daredevils,50,28,2,178.57
DJM Short,Kings XI Punjab,2,2,1,100.0
DJM Short,Kolkata Knight Riders,44,43,1,102.33
DJM Short,Mumbai Indians,4,5,1,80.0
DJM Short,Royal Challengers Bengaluru,11,17,1,64.71
DJM Short,Sunrisers Hyderabad,4,4,1,100.0
DL Chahar,Chennai Super Kings,28,15,1,186.67
DL Chahar,Delhi Capitals,1,2,1,50.0
DL Chahar,Delhi Daredevils,15,8,2,187.5
DL Chahar,Gujarat Titans,8,8,1,100.0
DL Chahar,Kings XI Punjab,39,20,1,195.0
DL Chahar,Kolkata Knight Riders,11,8,2,137.5
DL Chahar,Lucknow Super Giants,1,1,1,100.0
DL Chahar,Mumbai Indians,7,15,4,46.67
DL Chahar,Rajasthan Royals,14,10,2,140.0
DL Chahar,Royal Challengers Bengaluru,6,8,3,75.0
DL Chahar,Sunrisers Hyderabad,12,8,2,150.0
DL Vettori,Chennai Super Kings,3,4,3,75.0
DL Vettori,Deccan Chargers,3,6,1,50.0
DL Vettori,Delhi Daredevils,21,23,2,91.3
DL Vettori,Kings XI Punjab,5,9,3,55.56
DL Vettori,Kolkata Knight Riders,36,22,3,163.64
DL Vettori,Rajasthan Royals,30,29,2,103.45
DL Vettori,Royal Challengers Bengaluru,23,19,2,121.05
DM Bravo,Rising Pune Supergiants,6,5,1,120.0
DNT Zoysa,Kings XI Punjab,1,2,1,50.0
DNT Zoysa,Mumbai Indians,10,7,1,142.86
DP Conway,Delhi Capitals,197,127,4,155.12
DP Conway,Gujarat Titans,145,108,5,134.26
DP Conway,Kolkata Knight Riders,101,89,5,113.48
DP Conway,Lucknow Super Giants,46,28,1,164.29
DP Conway,Mumbai Indians,44,47,3,93.62
DP Conway,Punjab Kings,161,101,2,159.41
DP Conway,Rajasthan Royals,84,76,4,110.53
DP Conway,Royal Challengers Bengaluru,139,82,2,169.51
DP Conway,Sunrisers Hyderabad,162,112,2,144.64
DP Nannes,Deccan Chargers,1,2,1,50.0
DP Nannes,Mumbai Indians,3,11,1,27.27
DP Vijaykumar,Delhi Daredevils,1,1,1,100.0
DPMD Jayawardene,Chennai Super Kings,195,147,10,132.65
DPMD Jayawardene,Deccan Chargers,219,145,7,151.03
DPMD Jayawardene,Delhi Daredevils,120,111,7,108.11
DPMD Jayawardene,Kings XI Punjab,183,156,5,117.31
DPMD Jayawardene,Kolkata Knight Riders,451,338,12,133.43
DPMD Jayawardene,Mumbai Indians,261,201,10,129.85
DPMD Jayawardene,Pune Warriors,53,54,5,98.15
DPMD Jayawardene,Rajasthan Royals,161,150,11,107.33
DPMD Jayawardene,Royal Challengers Bengaluru,140,134,9,104.48
DPMD Jayawardene,Sunrisers Hyderabad,23,26,2,88.46
DR Martyn,Royal Challengers Bengaluru,19,24,1,79.17
DR Sams,Chennai Super Kings,6,9,2,66.67
DR Sams,Delhi Capitals,10,5,3,200.0
DR Sams,Gujarat Titans,0,2,1,0.0
DR Sams,Kolkata Knight Riders,1,2,1,50.0
DR Sams,Lucknow Super Giants,3,7,1,42.86
DR Sams,Mumbai Indians,0,2,1,0.0
DR Sams,Punjab Kings,3,4,1,75.0
DR Sams,Rajasthan Royals,6,2,2,300.0
DR Sams,Sunrisers Hyderabad,15,11,1,136.36
DR Shorey,Mumbai Indians,5,8,1,62.5
DR Shorey,Royal Challengers Bengaluru,8,9,1,88.89
DR Smith,Chennai Super Kings,233,127,9,183.46
DR Smith,Delhi Daredevils,319,248,12,128.63
DR Smith,Kings XI Punjab,248,179,9,138.55
DR Smith,Kolkata Knight Riders,187,159,10,117.61
DR Smith,Mumbai Indians,344,266,11,129.32
DR Smith,Pune Warriors,0,1,1,0.0
DR Smith,Rajasthan Royals,354,257,10,137.74
DR Smith,Rising Pune Supergiants,110,68,3,161.76
DR Smith,Royal Challengers Bengaluru,271,204,13,132.84
DR Smith,Sunrisers Hyderabad,313,246,10,127.24
DS Kulkarni,Chennai Super Kings,38,24,2,158.33
DS Kulkarni,Deccan Chargers,7,9,1,77.78
DS Kulkarni,Delhi Daredevils,1,4,1,25.0
DS Kulkarni,Kings XI Punjab,15,27,4,55.56
DS Kulkarni,Kolkata Knight Riders,3,3,1,100.0
DS Kulkarni,Mumbai Indians,6,3,1,200.0
DS Kulkarni,Rajasthan Royals,1,4,1,25.0
DS Kulkarni,Royal Challengers Bengaluru,16,18,4,88.89
DS Kulkarni,Sunrisers Hyderabad,17,16,5,106.25
DS Lehmann,Delhi Daredevils,1,2,1,50.0
DS Lehmann,Kings XI Punjab,17,16,1,106.25
DS Rathi,Mumbai Indians,1,3,1,33.33
DS Rathi,Rajasthan Royals,2,2,1,100.0
DS Rathi,Royal Challengers Bengaluru,0,3,1,0.0
DT Christian,Chennai Super Kings,33,33,5,100.0
DT Christian,Delhi Daredevils,56,56,4,100.0
DT Christian,Gujarat Lions,17,8,1,212.5
DT Christian,Kings XI Punjab,84,54,5,155.56
DT Christian,Kochi Tuskers Kerala,9,11,1,81.82
DT Christian,Kolkata Knight Riders,59,39,5,151.28
DT Christian,Mumbai Indians,101,110,9,91.82
DT Christian,Pune Warriors,24,23,2,104.35
DT Christian,Punjab Kings,0,1,1,0.0
DT Christian,Rajasthan Royals,55,38,2,144.74
DT Christian,Royal Challengers Bengaluru,1,4,2,25.0
DT Christian,Sunrisers Hyderabad,13,17,4,76.47
DT Patil,Kings XI Punjab,4,1,1,400.0
DT Patil,Rajasthan Royals,9,12,1,75.0
DV Malewar,Chennai Super Kings,0,1,1,0.0
DV Malewar,Gujarat Titans,2,4,1,50.0
DW Steyn,Chennai Super Kings,20,26,4,76.92
DW Steyn,Deccan Chargers,0,1,1,0.0
DW Steyn,Delhi Daredevils,19,17,3,111.76
DW Steyn,Kings XI Punjab,16,26,5,61.54
DW Steyn,Kolkata Knight Riders,22,18,4,122.22
DW Steyn,Mumbai Indians,33,35,7,94.29
DW Steyn,Pune Warriors,15,7,2,214.29
DW Steyn,Rajasthan Royals,38,25,5,152.0
DW Steyn,Royal Challengers Bengaluru,3,3,1,100.0
DW Steyn,Sunrisers Hyderabad,1,2,1,50.0
Dhruv Jurel,Chennai Super Kings,118,67,6,176.12
Dhruv Jurel,Delhi Capitals,149,102,5,146.08
Dhruv Jurel,Gujarat Titans,138,80,6,172.5
Dhruv Jurel,Kolkata Knight Riders,40,40,4,100.0
Dhruv Jurel,Lucknow Super Giants,131,91,6,143.96
Dhruv Jurel,Mumbai Indians,53,43,4,123.26
Dhruv Jurel,Punjab Kings,130,87,7,149.43
Dhruv Jurel,Royal Challengers Bengaluru,208,134,7,155.22
Dhruv Jurel,Sunrisers Hyderabad,228,131,6,174.05
E Lewis,Chennai Super Kings,161,110,5,146.36
E Lewis,Delhi Capitals,5,13,1,38.46
E Lewis,Delhi Daredevils,96,59,2,162.71
E Lewis,Gujarat Titans,10,9,1,111.11
E Lewis,Kings XI Punjab,19,20,2,95.0
E Lewis,Kolkata Knight Riders,76,57,3,133.33
E Lewis,Mumbai Indians,24,19,1,126.32
E Lewis,Punjab Kings,36,21,1,171.43
E Lewis,Rajasthan Royals,60,43,2,139.53
E Lewis,Royal Challengers Bengaluru,125,85,3,147.06
E Lewis,Sunrisers Hyderabad,42,41,5,102.44
E Malinga,Gujarat Titans,0,3,1,0.0
E Malinga,Kolkata Knight Riders,2,6,1,33.33
E Malinga,Rajasthan Royals,5,8,1,62.5
EJG Morgan,Chennai Super Kings,119,123,11,96.75
EJG Morgan,Deccan Chargers,14,15,1,93.33
EJG Morgan,Delhi Capitals,61,33,5,184.85
EJG Morgan,Delhi Daredevils,100,95,8,105.26
EJG Morgan,Kings XI Punjab,223,154,7,144.81
EJG Morgan,Kochi Tuskers Kerala,76,63,2,120.63
EJG Morgan,Kolkata Knight Riders,66,61,3,108.2
EJG Morgan,Mumbai Indians,132,131,9,100.76
EJG Morgan,Pune Warriors,15,15,1,100.0
EJG Morgan,Punjab Kings,49,42,2,116.67
EJG Morgan,Rajasthan Royals,256,165,6,155.15
EJG Morgan,Rising Pune Supergiants,4,6,2,66.67
EJG Morgan,Royal Challengers Bengaluru,115,117,9,98.29
EJG Morgan,Sunrisers Hyderabad,176,127,8,138.58
ER Dwivedi,Royal Challengers Bengaluru,19,9,1,211.11
ER Dwivedi,Sunrisers Hyderabad,5,5,1,100.0
F Behardien,Rising Pune Supergiants,5,5,1,100.0
F Behardien,Royal Challengers Bengaluru,9,8,2,112.5
F du Plessis,Chennai Super Kings,197,126,5,156.35
F du Plessis,Deccan Chargers,81,60,2,135.0
F du Plessis,Delhi Capitals,282,241,11,117.01
F du Plessis,Delhi Daredevils,140,115,6,121.74
F du Plessis,Gujarat Lions,69,43,1,160.47
F du Plessis,Gujarat Titans,165,106,6,155.66
F du Plessis,Kings XI Punjab,502,335,10,149.85
F du Plessis,Kolkata Knight Riders,547,402,19,136.07
F du Plessis,Lucknow Super Giants,267,182,6,146.7
F du Plessis,Mumbai Indians,566,441,21,128.34
F du Plessis,Pune Warriors,100,80,2,125.0
F du Plessis,Punjab Kings,329,237,8,138.82
F du Plessis,Rajasthan Royals,550,418,17,131.58
F du Plessis,Royal Challengers Bengaluru,344,289,13,119.03
F du Plessis,Sunrisers Hyderabad,624,431,20,144.78
FA Allen,Lucknow Super Giants,8,7,1,114.29
FA Allen,Rajasthan Royals,0,1,1,0.0
FA Allen,Sunrisers Hyderabad,5,10,1,50.0
FH Allen,Chennai Super Kings,1,3,1,33.33
FH Allen,Delhi Capitals,120,60,2,200.0
FH Allen,Gujarat Titans,93,35,1,265.71
FH Allen,Lucknow Super Giants,9,8,1,112.5
FH Allen,Mumbai Indians,45,22,2,204.55
FH Allen,Punjab Kings,6,7,1,85.71
FH Allen,Royal Challengers Bengaluru,18,8,1,225.0
FH Allen,Sunrisers Hyderabad,57,20,2,285.0
FH Edwards,Mumbai Indians,1,3,1,33.33
FH Edwards,Royal Challengers Bengaluru,3,2,1,150.0
FY Fazal,Chennai Super Kings,21,23,2,91.3
FY Fazal,Deccan Chargers,44,40,2,110.0
FY Fazal,Delhi Daredevils,0,2,1,0.0
FY Fazal,Kings XI Punjab,45,37,1,121.62
FY Fazal,Kochi Tuskers Kerala,16,15,1,106.67
FY Fazal,Kolkata Knight Riders,47,40,3,117.5
FY Fazal,Mumbai Indians,10,15,1,66.67
Fazalhaq Farooqi,Gujarat Titans,1,5,1,20.0
Fazalhaq Farooqi,Royal Challengers Bengaluru,4,10,2,40.0
G Coetzee,Chennai Super Kings,5,5,1,100.0
G Coetzee,Gujarat Titans,1,3,1,33.33
G Coetzee,Kolkata Knight Riders,8,7,1,114.29
G Coetzee,Lucknow Super Giants,1,2,1,50.0
G Coetzee,Mumbai Indians,11,5,1,220.0
G Coetzee,Rajasthan Royals,4,10,2,40.0
G Gambhir,Chennai Super Kings,427,345,16,123.77
G Gambhir,Deccan Chargers,224,178,9,125.84
G Gambhir,Delhi Daredevils,413,332,13,124.4
G Gambhir,Gujarat Lions,122,90,4,135.56
G Gambhir,Kings XI Punjab,730,591,23,123.52
G Gambhir,Kochi Tuskers Kerala,3,6,2,50.0
G Gambhir,Kolkata Knight Riders,155,126,6,123.02
G Gambhir,Mumbai Indians,467,405,21,115.31
G Gambhir,Pune Warriors,182,155,5,117.42
G Gambhir,Rajasthan Royals,419,349,16,120.06
G Gambhir,Rising Pune Supergiants,97,71,4,136.62
G Gambhir,Royal Challengers Bengaluru,644,478,20,134.73
G Gambhir,Sunrisers Hyderabad,314,268,12,117.16
GB Hogg,Chennai Super Kings,2,1,1,200.0
GB Hogg,Kings XI Punjab,5,5,1,100.0
GB Hogg,Mumbai Indians,2,5,1,40.0
GB Hogg,Royal Challengers Bengaluru,13,11,1,118.18
GC Smith,Chennai Super Kings,158,133,4,118.8
GC Smith,Deccan Chargers,112,93,4,120.43
GC Smith,Delhi Daredevils,123,128,6,96.09
GC Smith,Kings XI Punjab,75,49,3,153.06
GC Smith,Kochi Tuskers Kerala,24,24,1,100.0
GC Smith,Kolkata Knight Riders,41,52,3,78.85
GC Smith,Mumbai Indians,56,62,4,90.32
GC Smith,Royal Challengers Bengaluru,142,123,4,115.45
GC Viljoen,Delhi Capitals,3,6,2,50.0
GC Viljoen,Royal Challengers Bengaluru,0,1,1,0.0
GD McGrath,Mumbai Indians,0,2,1,0.0
GD McGrath,Rajasthan Royals,4,3,1,133.33
GD Phillips,Chennai Super Kings,14,7,1,200.0
GD Phillips,Delhi Capitals,14,9,1,155.56
GD Phillips,Kolkata Knight Riders,27,28,2,96.43
GD Phillips,Lucknow Super Giants,0,1,1,0.0
GD Phillips,Mumbai Indians,11,25,3,44.0
GD Phillips,Punjab Kings,25,17,1,147.06
GD Phillips,Rajasthan Royals,36,17,3,211.76
GD Phillips,Royal Challengers Bengaluru,5,4,1,125.0
GF Linde,Gujarat Titans,16,10,1,160.0
GF Linde,Kolkata Knight Riders,8,4,1,200.0
GF Linde,Royal Challengers Bengaluru,7,7,1,100.0
GH Vihari,Chennai Super Kings,13,16,3,81.25
GH Vihari,Delhi Daredevils,28,32,2,87.5
GH Vihari,Kings XI Punjab,62,59,4,105.08
GH Vihari,Kolkata Knight Riders,15,30,4,50.0
GH Vihari,Mumbai Indians,79,68,3,116.18
GH Vihari,Pune Warriors,12,20,2,60.0
GH Vihari,Rajasthan Royals,24,45,3,53.33
GH Vihari,Royal Challengers Bengaluru,48,49,2,97.96
GHS Garton,Punjab Kings,0,1,1,0.0
GHS Garton,Sunrisers Hyderabad,2,3,1,66.67
GJ Bailey,Chennai Super Kings,71,35,5,202.86
GJ Bailey,Delhi Daredevils,52,52,5,100.0
GJ Bailey,Kings XI Punjab,24,23,2,104.35
GJ Bailey,Kolkata Knight Riders,173,144,7,120.14
GJ Bailey,Mumbai Indians,136,94,4,144.68
GJ Bailey,Rajasthan Royals,48,35,2,137.14
GJ Bailey,Royal Challengers Bengaluru,49,64,6,76.56
GJ Bailey,Sunrisers Hyderabad,107,94,5,113.83
GJ Maxwell,Chennai Super Kings,381,202,15,188.61
GJ Maxwell,Delhi Capitals,188,130,7,144.62
GJ Maxwell,Delhi Daredevils,45,35,6,128.57
GJ Maxwell,Gujarat Lions,53,34,4,155.88
GJ Maxwell,Gujarat Titans,88,45,5,195.56
GJ Maxwell,Kings XI Punjab,12,13,2,92.31
GJ Maxwell,Kolkata Knight Riders,494,355,22,139.15
GJ Maxwell,Lucknow Super Giants,95,57,5,166.67
GJ Maxwell,Mumbai Indians,433,270,18,160.37
GJ Maxwell,Pune Warriors,13,7,1,185.71
GJ Maxwell,Punjab Kings,95,62,5,153.23
GJ Maxwell,Rajasthan Royals,394,251,16,156.97
GJ Maxwell,Rising Pune Supergiants,76,37,3,205.41
GJ Maxwell,Royal Challengers Bengaluru,103,81,9,127.16
GJ Maxwell,Sunrisers Hyderabad,342,231,16,148.05
GR Napier,Kolkata Knight Riders,15,16,1,93.75
Gulbadin Naib,Rajasthan Royals,19,15,1,126.67
Gurkeerat Singh,Chennai Super Kings,48,43,4,111.63
Gurkeerat Singh,Deccan Chargers,29,12,1,241.67
Gurkeerat Singh,Delhi Capitals,27,19,1,142.11
Gurkeerat Singh,Delhi Daredevils,34,16,2,212.5
Gurkeerat Singh,Gujarat Lions,0,3,1,0.0
Gurkeerat Singh,Kolkata Knight Riders,75,70,6,107.14
Gurkeerat Singh,Mumbai Indians,22,20,4,110.0
Gurkeerat Singh,Rajasthan Royals,58,59,4,98.31
Gurkeerat Singh,Rising Pune Supergiants,51,30,1,170.0
Gurkeerat Singh,Royal Challengers Bengaluru,40,41,3,97.56
Gurkeerat Singh,Sunrisers Hyderabad,127,109,5,116.51
H Das,Mumbai Indians,2,5,1,40.0
H Klaasen,Chennai Super Kings,167,128,7,130.47
H Klaasen,Delhi Capitals,167,86,6,194.19
H Klaasen,Gujarat Titans,152,110,5,138.18
H Klaasen,Kolkata Knight Riders,380,212,10,179.25
H Klaasen,Lucknow Super Giants,182,115,4,158.26
H Klaasen,Mumbai Indians,307,168,8,182.74
H Klaasen,Punjab Kings,180,125,5,144.0
H Klaasen,Rajasthan Royals,245,145,8,168.97
H Klaasen,Royal Challengers Bengaluru,315,164,7,192.07
HC Brook,Chennai Super Kings,18,13,1,138.46
HC Brook,Delhi Capitals,7,16,2,43.75
HC Brook,Kolkata Knight Riders,96,58,2,165.52
HC Brook,Lucknow Super Giants,3,4,1,75.0
HC Brook,Mumbai Indians,9,8,2,112.5
HC Brook,Punjab Kings,13,14,1,92.86
HC Brook,Rajasthan Royals,13,21,1,61.9
HC Brook,Royal Challengers Bengaluru,27,19,1,142.11
HE van der Dussen,Delhi Capitals,12,10,1,120.0
HE van der Dussen,Gujarat Titans,6,10,1,60.0
HE van der Dussen,Lucknow Super Giants,4,4,1,100.0
HF Gurney,Chennai Super Kings,1,5,1,20.0
HH Gibbs,Chennai Super Kings,150,139,6,107.91
HH Gibbs,Delhi Daredevils,53,54,4,98.15
HH Gibbs,Kings XI Punjab,113,116,5,97.41
HH Gibbs,Kolkata Knight Riders,224,217,7,103.23
HH Gibbs,Mumbai Indians,102,80,4,127.5
HH Gibbs,Rajasthan Royals,52,44,3,118.18
HH Gibbs,Royal Challengers Bengaluru,192,155,7,123.87
HH Pandya,Chennai Super Kings,229,171,18,133.92
HH Pandya,Delhi Capitals,272,206,14,132.04
HH Pandya,Delhi Daredevils,89,67,7,132.84
HH Pandya,Gujarat Lions,19,22,4,86.36
HH Pandya,Gujarat Titans,60,49,5,122.45
HH Pandya,Kings XI Punjab,170,92,9,184.78
HH Pandya,Kolkata Knight Riders,437,274,16,159.49
HH Pandya,Lucknow Super Giants,184,143,8,128.67
HH Pandya,Mumbai Indians,65,43,4,151.16
HH Pandya,Punjab Kings,141,115,9,122.61
HH Pandya,Rajasthan Royals,547,312,17,175.32
HH Pandya,Rising Pune Supergiants,81,56,5,144.64
HH Pandya,Royal Challengers Bengaluru,400,243,18,164.61
HH Pandya,Sunrisers Hyderabad,257,223,16,115.25
HM Amla,Delhi Daredevils,36,37,3,97.3
HM Amla,Gujarat Lions,169,100,2,169.0
HM Amla,Kolkata Knight Riders,25,27,1,92.59
HM Amla,Mumbai Indians,102,64,2,159.38
HM Amla,Rising Pune Supergiants,58,54,2,107.41
HM Amla,Royal Challengers Bengaluru,89,67,4,132.84
HM Amla,Sunrisers Hyderabad,96,57,2,168.42
HR Shokeen,Chennai Super Kings,61,61,3,100.0
HR Shokeen,Lucknow Super Giants,0,1,1,0.0
HR Shokeen,Royal Challengers Bengaluru,5,3,1,166.67
HV Patel,Chennai Super Kings,53,46,7,115.22
HV Patel,Deccan Chargers,5,5,1,100.0
HV Patel,Delhi Capitals,11,13,2,84.62
HV Patel,Delhi Daredevils,0,1,1,0.0
HV Patel,Gujarat Titans,0,1,1,0.0
HV Patel,Kings XI Punjab,6,5,2,120.0
HV Patel,Kolkata Knight Riders,58,47,8,123.4
HV Patel,Lucknow Super Giants,16,14,3,114.29
HV Patel,Mumbai Indians,17,19,5,89.47
HV Patel,Punjab Kings,43,21,3,204.76
HV Patel,Rajasthan Royals,40,34,5,117.65
HV Patel,Royal Challengers Bengaluru,0,3,2,0.0
HV Patel,Sunrisers Hyderabad,31,29,4,106.9
Harbhajan Singh,Chennai Super Kings,167,121,16,138.02
Harbhajan Singh,Deccan Chargers,82,37,4,221.62
Harbhajan Singh,Delhi Daredevils,99,73,11,135.62
Harbhajan Singh,Gujarat Lions,11,19,3,57.89
Harbhajan Singh,Kings XI Punjab,135,92,12,146.74
Harbhajan Singh,Kolkata Knight Riders,74,56,8,132.14
Harbhajan Singh,Mumbai Indians,11,10,3,110.0
Harbhajan Singh,Pune Warriors,29,22,4,131.82
Harbhajan Singh,Rajasthan Royals,66,40,8,165.0
Harbhajan Singh,Rising Pune Supergiants,52,32,2,162.5
Harbhajan Singh,Royal Challengers Bengaluru,69,50,10,138.0
Harbhajan Singh,Sunrisers Hyderabad,29,47,7,61.7
Harmeet Singh,Chennai Super Kings,0,1,1,0.0
Harmeet Singh,Kolkata Knight Riders,14,6,1,233.33
Harmeet Singh,Rajasthan Royals,1,1,1,100.0
Harmeet Singh,Sunrisers Hyderabad,3,4,1,75.0
Harpreet Brar,Chennai Super Kings,17,13,1,130.77
Harpreet Brar,Delhi Capitals,36,26,7,138.46
Harpreet Brar,Gujarat Titans,38,19,3,200.0
Harpreet Brar,Kolkata Knight Riders,31,27,2,114.81
Harpreet Brar,Lucknow Super Giants,6,4,1,150.0
Harpreet Brar,Mumbai Indians,40,41,3,97.56
Harpreet Brar,Rajasthan Royals,3,3,1,100.0
Harpreet Brar,Royal Challengers Bengaluru,59,53,7,111.32
Harpreet Brar,Sunrisers Hyderabad,19,20,2,95.0
Harpreet Singh,Gujarat Titans,14,19,1,73.68
Harpreet Singh,Kolkata Knight Riders,6,6,1,100.0
Harpreet Singh,Lucknow Super Giants,22,22,1,100.0
Harpreet Singh,Mumbai Indians,50,42,2,119.05
Harpreet Singh,Rajasthan Royals,13,19,1,68.42
Harpreet Singh,Royal Challengers Bengaluru,14,10,2,140.0
Harsh Dubey,Kolkata Knight Riders,9,3,1,300.0
Harsh Dubey,Lucknow Super Giants,0,1,1,0.0
Harsh Dubey,Punjab Kings,1,2,1,50.0
Harsh Dubey,Royal Challengers Bengaluru,3,3,1,100.0
Harshit Rana,Delhi Capitals,0,2,2,0.0
Harshit Rana,Gujarat Titans,1,2,1,50.0
Harshit Rana,Lucknow Super Giants,12,10,2,120.0
Harshit Rana,Mumbai Indians,4,7,1,57.14
Harshit Rana,Punjab Kings,3,6,1,50.0
Harshit Rana,Royal Challengers Bengaluru,5,6,1,83.33
Harshit Rana,Sunrisers Hyderabad,34,22,2,154.55
Himmat Singh,Chennai Super Kings,17,12,1,141.67
Himmat Singh,Kolkata Knight Riders,17,8,1,212.5
Himmat Singh,Mumbai Indians,39,29,1,134.48
Himmat Singh,Punjab Kings,1,1,1,100.0
Himmat Singh,Rajasthan Royals,15,15,1,100.0
I Malhotra,Delhi Daredevils,7,4,1,175.0
I Sharma,Chennai Super Kings,21,22,4,95.45
I Sharma,Deccan Chargers,9,9,1,100.0
I Sharma,Kings XI Punjab,0,1,1,0.0
I Sharma,Kolkata Knight Riders,2,4,2,50.0
I Sharma,Mumbai Indians,11,10,3,110.0
I Sharma,Rajasthan Royals,5,4,4,125.0
I Sharma,Rising Pune Supergiants,1,5,1,20.0
I Sharma,Royal Challengers Bengaluru,0,6,2,0.0
I Sharma,Sunrisers Hyderabad,8,8,3,100.0
I Udana,Delhi Capitals,5,5,2,100.0
I Udana,Kings XI Punjab,10,5,1,200.0
I Udana,Sunrisers Hyderabad,0,1,1,0.0
IC Pandey,Royal Challengers Bengaluru,0,2,1,0.0
IK Pathan,Chennai Super Kings,206,168,10,122.62
IK Pathan,Deccan Chargers,110,88,7,125.0
IK Pathan,Delhi Daredevils,69,57,5,121.05
IK Pathan,Kings XI Punjab,52,64,9,81.25
IK Pathan,Kochi Tuskers Kerala,18,13,2,138.46
IK Pathan,Kolkata Knight Riders,231,168,12,137.5
IK Pathan,Mumbai Indians,91,77,12,118.18
IK Pathan,Pune Warriors,57,56,4,101.79
IK Pathan,Rajasthan Royals,133,125,9,106.4
IK Pathan,Royal Challengers Bengaluru,146,82,10,178.05
IK Pathan,Sunrisers Hyderabad,36,49,2,73.47
IR Jaggi,Kolkata Knight Riders,6,16,2,37.5
IR Jaggi,Mumbai Indians,30,38,2,78.95
IR Jaggi,Pune Warriors,10,7,1,142.86
IR Jaggi,Rajasthan Royals,25,28,1,89.29
IR Jaggi,Sunrisers Hyderabad,5,8,1,62.5
IS Sodhi,Delhi Capitals,6,11,1,54.55
IS Sodhi,Kolkata Knight Riders,1,6,1,16.67
Imran Tahir,Chennai Super Kings,2,2,1,100.0
Imran Tahir,Delhi Daredevils,0,2,1,0.0
Imran Tahir,Kings XI Punjab,4,4,1,100.0
Imran Tahir,Mumbai Indians,20,19,3,105.26
Imran Tahir,Rajasthan Royals,4,6,1,66.67
Imran Tahir,Royal Challengers Bengaluru,3,4,1,75.0
Iqbal Abdulla,Chennai Super Kings,3,7,3,42.86
Iqbal Abdulla,Delhi Daredevils,7,10,3,70.0
Iqbal Abdulla,Gujarat Lions,32,24,1,133.33
Iqbal Abdulla,Kochi Tuskers Kerala,12,9,1,133.33
Iqbal Abdulla,Mumbai Indians,26,25,2,104.0
Iqbal Abdulla,Rajasthan Royals,1,2,1,50.0
Iqbal Abdulla,Sunrisers Hyderabad,6,5,2,120.0
Ishan Kishan,Chennai Super Kings,352,266,13,132.33
Ishan Kishan,Delhi Capitals,463,303,12,152.81
Ishan Kishan,Delhi Daredevils,91,75,6,121.33
Ishan Kishan,Gujarat Titans,130,112,7,116.07
Ishan Kishan,Kings XI Punjab,154,135,8,114.07
Ishan Kishan,Kolkata Knight Riders,343,228,13,150.44
Ishan Kishan,Lucknow Super Giants,176,171,9,102.92
Ishan Kishan,Mumbai Indians,62,57,5,108.77
Ishan Kishan,Punjab Kings,184,131,8,140.46
Ishan Kishan,Rajasthan Royals,584,349,15,167.34
Ishan Kishan,Rising Pune Supergiants,31,25,2,124.0
Ishan Kishan,Royal Challengers Bengaluru,637,374,16,170.32
Ishan Kishan,Sunrisers Hyderabad,384,275,13,139.64
J Arunkumar,Kings XI Punjab,1,3,1,33.33
J Arunkumar,Kolkata Knight Riders,22,17,1,129.41
J Arunkumar,Rajasthan Royals,0,3,1,0.0
J Botha,Chennai Super Kings,57,63,4,90.48
