Batter,Kind,count
M Muralitharan,caught,2
M Muralitharan,lbw,1
M Muralitharan,run out,2
M Ntini,bowled,1
M Prasidh Krishna,caught,1
M Prasidh Krishna,run out,2
M Rawat,bowled,1
M Rawat,caught,3
M Rawat,caught and bowled,1
M Shahrukh Khan,bowled,5
M Shahrukh Khan,caught,21
M Shahrukh Khan,lbw,3
M Shahrukh Khan,run out,6
M Shahrukh Khan,stumped,3
M Theekshana,caught,3
M Tiwari,bowled,1
M Vijay,bowled,19
M Vijay,caught,52
M Vijay,caught and bowled,3
M Vijay,lbw,10
M Vijay,run out,12
M Vijay,stumped,5
M Vohra,bowled,9
M Vohra,caught,26
M Vohra,caught and bowled,5
M Vohra,lbw,5
M Vohra,run out,4
M de Lange,caught,1
MA Agarwal,bowled,22
MA Agarwal,caught,84
MA Agarwal,caught and bowled,3
MA Agarwal,lbw,4
MA Agarwal,run out,4
MA Agarwal,stumped,3
MA Khote,caught,1
MA Khote,hit wicket,1
MA Starc,bowled,2
MA Starc,caught,7
MA Starc,run out,3
MA Wood,bowled,1
MA Wood,caught,1
MC Henriques,bowled,5
MC Henriques,caught,20
MC Henriques,caught and bowled,3
MC Henriques,lbw,2
MC Henriques,run out,1
MC Henriques,stumped,5
MC Juneja,caught,5
MC Juneja,lbw,1
MC Juneja,run out,1
MD Choudhary,bowled,1
MD Choudhary,caught,4
MD Choudhary,caught and bowled,1
MD Mishra,bowled,2
MD Mishra,caught,7
MD Mishra,lbw,3
MD Mishra,run out,2
MD Mishra,stumped,2
MD Shanaka,caught,6
MD Shanaka,run out,1
MDKJ Perera,caught,1
MDKJ Perera,lbw,1
MEK Hussey,bowled,15
MEK Hussey,caught,29
MEK Hussey,lbw,2
MEK Hussey,run out,4
MEK Hussey,stumped,1
MF Maharoof,bowled,3
MF Maharoof,caught,4
MF Maharoof,run out,2
MF Maharoof,stumped,1
MG Bracewell,caught,1
MG Bracewell,caught and bowled,1
MG Johnson,bowled,6
MG Johnson,caught,6
MG Johnson,stumped,1
MJ Clarke,bowled,1
MJ Clarke,caught,1
MJ Clarke,lbw,2
MJ Clarke,run out,1
MJ Clarke,stumped,1
MJ Guptill,caught,10
MJ Guptill,lbw,2
MJ Henry,caught,1
MJ Henry,caught and bowled,1
MJ Lumb,bowled,1
MJ Lumb,caught,6
MJ Lumb,lbw,1
MJ Lumb,run out,2
MJ Lumb,stumped,2
MJ McClenaghan,bowled,2
MJ McClenaghan,caught,6
MJ McClenaghan,lbw,1
MJ McClenaghan,run out,3
MJ McClenaghan,stumped,1
MJ Owen,caught,1
MJ Santner,bowled,2
MJ Santner,caught,5
MJ Santner,lbw,1
MJ Suthar,caught,1
MK Lomror,bowled,3
MK Lomror,caught,21
MK Lomror,caught and bowled,1
MK Lomror,lbw,2
MK Lomror,stumped,2
MK Pandey,bowled,32
MK Pandey,caught,80
MK Pandey,caught and bowled,6
MK Pandey,lbw,9
MK Pandey,run out,8
MK Pandey,stumped,2
MK Tiwary,bowled,11
MK Tiwary,caught,30
MK Tiwary,caught and bowled,1
MK Tiwary,lbw,7
MK Tiwary,run out,6
MK Tiwary,stumped,4
ML Hayden,bowled,7
ML Hayden,caught,17
ML Hayden,caught and bowled,1
ML Hayden,lbw,1
ML Hayden,run out,3
ML Hayden,stumped,2
MM Ali,bowled,7
MM Ali,caught,34
MM Ali,caught and bowled,2
MM Ali,run out,5
MM Ali,stumped,5
MM Patel,bowled,1
MM Patel,caught,2
MM Patel,lbw,1
MM Patel,run out,2
MM Sharma,bowled,3
MM Sharma,caught,10
MM Sharma,run out,5
MN Samuels,bowled,5
MN Samuels,caught,5
MN Samuels,run out,3
MN van Wyk,bowled,1
MN van Wyk,caught,2
MP Breetzke,bowled,1
MP Stoinis,bowled,12
MP Stoinis,caught,53
MP Stoinis,caught and bowled,2
MP Stoinis,lbw,3
MP Stoinis,run out,5
MP Stoinis,stumped,3
MP Yadav,caught,1
MR Marsh,bowled,11
MR Marsh,caught,40
MR Marsh,caught and bowled,2
MR Marsh,lbw,2
MR Marsh,run out,5
MS Bhandage,lbw,1
MS Bisla,bowled,9
MS Bisla,caught,18
MS Bisla,lbw,2
MS Bisla,run out,5
MS Bisla,stumped,4
MS Dhoni,bowled,20
MS Dhoni,caught,98
MS Dhoni,caught and bowled,4
MS Dhoni,lbw,7
MS Dhoni,run out,10
MS Dhoni,stumped,3
MS Gony,bowled,4
MS Gony,caught,4
MS Gony,run out,2
MS Wade,bowled,4
MS Wade,caught,6
MS Wade,lbw,3
MS Wade,run out,1
MV Boucher,bowled,3
MV Boucher,caught,8
MV Boucher,lbw,2
MV Boucher,run out,1
MW Short,bowled,3
MW Short,caught,5
MW Short,lbw,1
Mandeep Singh,bowled,17
Mandeep Singh,caught,52
Mandeep Singh,caught and bowled,1
Mandeep Singh,lbw,3
Mandeep Singh,run out,4
Mandeep Singh,stumped,5
Mayank Dagar,run out,1
Misbah-ul-Haq,caught,4
Misbah-ul-Haq,hit wicket,1
Misbah-ul-Haq,lbw,2
Mohammad Ashraful,caught,1
Mohammad Asif,caught,1
Mohammad Asif,run out,1
Mohammad Hafeez,bowled,1
Mohammad Hafeez,caught,6
Mohammad Nabi,bowled,4
Mohammad Nabi,caught,10
Mohammad Nabi,caught and bowled,1
Mohammad Nabi,run out,2
Mohammed Shami,bowled,3
Mohammed Shami,caught,11
Mohammed Shami,lbw,1
Mohammed Shami,run out,3
Mohammed Shami,stumped,1
Mohammed Siraj,bowled,1
Mohammed Siraj,caught,7
Mohammed Siraj,lbw,2
Mohammed Siraj,run out,2
Mohsin Khan,bowled,2
Mohsin Khan,caught,2
Mohsin Khan,run out,1
Mujeeb Ur Rahman,bowled,1
Mujeeb Ur Rahman,caught,2
Mukesh Choudhary,run out,1
Mukesh Kumar,caught,1
Musheer Khan,lbw,1
Mustafizur Rahman,bowled,1
Mustafizur Rahman,caught,1
N Burger,run out,1
N Jagadeesan,caught,7
N Jagadeesan,lbw,1
N Jagadeesan,run out,1
N Pooran,bowled,12
N Pooran,caught,58
N Pooran,caught and bowled,2
N Pooran,lbw,7
N Pooran,run out,4
N Rana,bowled,6
N Rana,caught,88
N Rana,caught and bowled,2
N Rana,lbw,7
N Rana,run out,5
N Rana,stumped,3
N Saini,bowled,1
N Saini,caught,5
N Saini,caught and bowled,2
N Saini,lbw,2
N Sindhu,caught,4
N Sindhu,caught and bowled,1
N Wadhera,bowled,8
N Wadhera,caught,22
N Wadhera,lbw,1
N Wadhera,run out,2
ND Doshi,caught,1
NJ Maddinson,bowled,2
NJ Maddinson,caught,1
NK Patel,bowled,2
NK Patel,caught,2
NL McCullum,caught,1
NLTC Perera,bowled,4
NLTC Perera,caught,17
NLTC Perera,run out,1
NM Coulter-Nile,bowled,3
NM Coulter-Nile,caught,6
NM Coulter-Nile,lbw,1
NM Coulter-Nile,run out,1
NS Naik,bowled,1
NS Naik,caught,2
NS Naik,lbw,1
NT Ellis,bowled,3
NT Ellis,caught,1
NV Ojha,bowled,9
NV Ojha,caught,54
NV Ojha,caught and bowled,1
NV Ojha,lbw,2
NV Ojha,run out,6
NV Ojha,stumped,3
Naman Dhir,bowled,6
Naman Dhir,caught,17
Naman Dhir,lbw,3
Navdeep Saini,bowled,1
Navdeep Saini,caught,3
Naveen-ul-Haq,caught,1
Nithish Kumar Reddy,bowled,2
Nithish Kumar Reddy,caught,24
Nithish Kumar Reddy,lbw,1
Noor Ahmad,bowled,2
Noor Ahmad,caught,7
Noor Ahmad,caught and bowled,1
Noor Ahmad,run out,1
OA Shah,bowled,3
OA Shah,caught,5
OA Shah,run out,5
OA Shah,stumped,2
OC McCoy,run out,1
OF Smith,caught,2
OF Smith,caught and bowled,1
P Awana,caught,2
P Chopra,caught,1
P Dogra,bowled,2
P Dogra,caught,4
P Dogra,run out,4
P Dogra,stumped,1
P Dubey,bowled,1
P Kumar,bowled,15
P Kumar,caught,11
P Kumar,caught and bowled,1
P Kumar,lbw,1
P Kumar,run out,10
P Negi,bowled,4
P Negi,caught,15
P Negi,lbw,1
P Negi,run out,4
P Negi,stumped,2
P Nissanka,caught,7
P Nissanka,lbw,2
P Nissanka,stumped,1
P Ray Barman,caught,1
P Sahu,run out,1
P Simran Singh,bowled,5
P Simran Singh,caught,48
P Simran Singh,caught and bowled,1
P Simran Singh,lbw,6
P Simran Singh,run out,2
P Simran Singh,stumped,1
PA Patel,bowled,22
PA Patel,caught,71
PA Patel,caught and bowled,5
PA Patel,lbw,12
PA Patel,run out,10
PA Patel,stumped,6
PA Reddy,bowled,2
PA Reddy,caught,6
PA Reddy,run out,1
PA Reddy,stumped,1
PBB Rajapaksa,bowled,1
PBB Rajapaksa,caught,9
PBB Rajapaksa,lbw,1
PBB Rajapaksa,run out,1
PC Valthaty,bowled,3
PC Valthaty,caught,18
PC Valthaty,run out,1
PD Collingwood,caught,2
PD Collingwood,lbw,1
PD Collingwood,run out,2
PD Salt,bowled,7
PD Salt,caught,25
PD Salt,caught and bowled,3
PD Salt,run out,1
PD Salt,stumped,1
PHKD Mendis,caught,3
PJ Cummins,bowled,5
PJ Cummins,caught,24
PJ Cummins,caught and bowled,1
PJ Cummins,lbw,2
PJ Cummins,run out,1
PJ Sangwan,bowled,3
PJ Sangwan,caught,3
PJ Sangwan,lbw,1
PJ Sangwan,run out,1
PK Garg,bowled,4
PK Garg,caught,11
PK Garg,caught and bowled,2
PK Garg,run out,1
PN Mankad,caught,3
PP Chawla,bowled,12
PP Chawla,caught,32
PP Chawla,lbw,2
PP Chawla,run out,8
PP Chawla,stumped,2
PP Hinge,stumped,1
PP Ojha,bowled,3
PP Ojha,caught,5
PP Ojha,run out,4
PP Shaw,bowled,12
PP Shaw,caught,54
PP Shaw,caught and bowled,5
PP Shaw,lbw,3
PP Shaw,run out,4
PP Shaw,stumped,1
PR Shah,bowled,1
PR Shah,caught,6
PR Shah,caught and bowled,1
PR Veer,caught,1
PR Veer,caught and bowled,1
PSP Handscomb,caught,1
PV Tambe,caught,1
PV Tambe,run out,1
PVD Chameera,bowled,1
PVD Chameera,caught,1
PVD Chameera,lbw,1
PVD Chameera,run out,1
PWA Mulder,caught,1
PWH de Silva,bowled,3
PWH de Silva,caught,8
PWH de Silva,caught and bowled,1
PWH de Silva,lbw,1
PWH de Silva,run out,2
Pankaj Singh,bowled,1
Pankaj Singh,caught,1
Parvez Rasool,caught,1
Parvez Rasool,caught and bowled,1
Priyansh Arya,bowled,3
Priyansh Arya,caught,28
Q de Kock,bowled,16
Q de Kock,caught,78
Q de Kock,caught and bowled,5
Q de Kock,lbw,7
Q de Kock,run out,4
Q de Kock,stumped,1
R Ashwin,bowled,7
R Ashwin,caught,43
R Ashwin,caught and bowled,2
R Ashwin,lbw,1
R Ashwin,run out,8
R Ashwin,stumped,2
R Bhatia,bowled,5
R Bhatia,caught,17
R Bhatia,caught and bowled,2
R Bhatia,run out,5
R Bhatia,stumped,1
R Bishnoi,caught,2
R Bishnoi,run out,1
R Dhawan,bowled,3
R Dhawan,caught,3
R Dhawan,lbw,2
R Dhawan,run out,2
R Dhawan,stumped,1
R Dravid,bowled,16
R Dravid,caught,47
R Dravid,caught and bowled,5
R Dravid,lbw,2
R Dravid,run out,6
R Dravid,stumped,1
R McLaren,bowled,2
R McLaren,caught,2
R McLaren,lbw,2
R McLaren,run out,2
R Minz,bowled,1
R Minz,caught,2
R Ninan,caught,1
R Parag,bowled,13
R Parag,caught,53
R Parag,hit wicket,1
R Parag,lbw,3
R Parag,run out,4
R Powell,bowled,3
R Powell,caught,14
R Powell,caught and bowled,1
R Powell,lbw,6
R Powell,run out,1
R Rampaul,caught,4
R Rampaul,lbw,1
R Ravindra,bowled,2
R Ravindra,caught,8
R Ravindra,caught and bowled,2
R Ravindra,lbw,1
R Ravindra,run out,2
R Ravindra,stumped,2
R Sai Kishore,bowled,2
R Sai Kishore,caught,1
R Sai Kishore,run out,1
R Sanjay Yadav,caught,1
R Sathish,bowled,3
R Sathish,caught,9
R Sathish,lbw,1
R Sathish,run out,3
R Sathish,stumped,1
R Sharma,bowled,4
R Sharma,caught,6
R Sharma,run out,4
R Shepherd,bowled,2
R Shepherd,caught,5
R Shepherd,caught and bowled,1
R Shepherd,lbw,3
R Shukla,caught,1
R Smaran,caught,3
R Tewatia,bowled,6
R Tewatia,caught,39
R Tewatia,lbw,4
R Tewatia,run out,6
R Vinay Kumar,bowled,10
R Vinay Kumar,caught,13
R Vinay Kumar,run out,4
R Vinay Kumar,stumped,1
RA Bawa,bowled,1
RA Bawa,caught,1
RA Bawa,lbw,1
RA Jadeja,bowled,20
RA Jadeja,caught,78
RA Jadeja,caught and bowled,7
RA Jadeja,hit wicket,1
RA Jadeja,lbw,6
RA Jadeja,obstructing the field,1
RA Jadeja,run out,7
RA Jadeja,stumped,1
RA Tripathi,bowled,11
RA Tripathi,caught,63
RA Tripathi,caught and bowled,5
RA Tripathi,lbw,3
RA Tripathi,run out,5
RD Chahar,bowled,2
RD Chahar,caught,10
RD Chahar,lbw,2
RD Chahar,run out,2
RD Gaikwad,bowled,8
RD Gaikwad,caught,59
RD Gaikwad,lbw,2
RD Gaikwad,run out,3
RD Gaikwad,stumped,2
RD Rickelton,bowled,4
RD Rickelton,caught,17
RD Rickelton,caught and bowled,1
RD Rickelton,lbw,1
RD Rickelton,run out,1
RE Levi,bowled,4
RE Levi,caught,1
RE Levi,stumped,1
RE van der Merwe,bowled,2
RE van der Merwe,caught,5
RE van der Merwe,run out,1
RE van der Merwe,stumped,3
RG Sharma,bowled,30
RG Sharma,caught,174
RG Sharma,caught and bowled,10
RG Sharma,lbw,17
RG Sharma,run out,11
RG Sharma,stumped,3
RJ Harris,bowled,2
RJ Harris,caught,9
RJ Harris,lbw,1
RJ Peterson,caught,1
RJ Peterson,run out,2
RJ Quiney,bowled,1
RJ Quiney,caught,4
RJ Quiney,lbw,2
RK Bhui,caught,4
RK Singh,bowled,4
RK Singh,caught,33
RK Singh,caught and bowled,1
RK Singh,lbw,1
RK Singh,run out,1
RK Singh,stumped,1
RM Patidar,bowled,4
RM Patidar,caught,40
RM Patidar,lbw,2
RM Patidar,run out,2
RN ten Doeschate,bowled,1
RN ten Doeschate,caught,6
RN ten Doeschate,lbw,5
RN ten Doeschate,run out,2
RP Singh,bowled,4
RP Singh,caught,5
RP Singh,caught and bowled,1
RP Singh,run out,4
RP Singh,stumped,1
RR Bhatkal,caught,1
RR Pant,bowled,16
RR Pant,caught,82
RR Pant,caught and bowled,1
RR Pant,lbw,5
RR Pant,run out,9
RR Pant,stumped,2
RR Powar,bowled,2
RR Powar,run out,1
RR Raje,bowled,1
RR Rossouw,bowled,7
RR Rossouw,caught,11
RR Rossouw,lbw,2
RR Sarwan,bowled,1
RR Sarwan,caught,2
RR Sarwan,run out,1
RS Bopara,bowled,1
RS Bopara,caught,13
RS Bopara,lbw,3
RS Bopara,run out,1
RS Gavaskar,caught,1
RT Ponting,caught,5
RT Ponting,caught and bowled,1
RT Ponting,lbw,1
RT Ponting,run out,1
RT Ponting,stumped,1
RV Gomez,bowled,1
RV Gomez,caught,3
RV Gomez,lbw,1
RV Patel,caught,3
RV Patel,run out,2
RV Uthappa,bowled,15
RV Uthappa,caught,124
RV Uthappa,caught and bowled,6
RV Uthappa,lbw,18
RV Uthappa,run out,9
RV Uthappa,stumped,8
Rahmanullah Gurbaz,bowled,1
Rahmanullah Gurbaz,caught,13
Rahmanullah Gurbaz,lbw,3
Ramandeep Singh,bowled,3
Ramandeep Singh,caught,12
Ramandeep Singh,caught and bowled,1
Rashid Khan,bowled,4
Rashid Khan,caught,28
Rashid Khan,caught and bowled,6
Rashid Khan,hit wicket,1
Rashid Khan,lbw,3
Rashid Khan,run out,4
Rasikh Salam,caught,4
Rasikh Salam,run out,1
Ravi Bishnoi,bowled,3
Ravi Bishnoi,caught,6
Ravi Bishnoi,lbw,1
Ravi Bishnoi,run out,2
Ravi Singh,lbw,1
S Anirudha,bowled,1
S Anirudha,caught,4
S Anirudha,lbw,2
S Anirudha,stumped,1
S Aravind,bowled,1
S Aravind,caught,1
S Aravind,lbw,1
S Aravind,run out,1
S Arora,bowled,2
S Arora,caught,4
S Badree,bowled,3
S Badree,caught,1
S Badree,lbw,1
S Badrinath,bowled,2
S Badrinath,caught,31
S Badrinath,caught and bowled,3
S Badrinath,lbw,4
S Badrinath,run out,4
S Badrinath,stumped,3
S Chanderpaul,caught,3
S Dhawan,bowled,40
S Dhawan,caught,112
S Dhawan,caught and bowled,3
S Dhawan,lbw,13
S Dhawan,run out,16
S Dhawan,stumped,8
S Dube,bowled,14
S Dube,caught,47
S Dube,caught and bowled,1
S Dube,lbw,3
S Dube,run out,3
S Gopal,bowled,1
S Gopal,caught,10
S Gopal,run out,2
S Gopal,stumped,1
S Kaul,caught,1
S Kaul,caught and bowled,1
S Kaul,run out,2
S Kaushik,caught,1
S Ladda,run out,1
S Lamichhane,bowled,1
S Nadeem,bowled,3
S Nadeem,caught,6
S Nadeem,caught and bowled,3
S Nadeem,run out,2
S Narwal,caught,3
S Rana,bowled,3
S Rana,caught,1
S Randiv,caught,1
S Sohal,bowled,3
S Sohal,caught,12
S Sohal,lbw,2
S Sohal,run out,3
S Sreesanth,bowled,1
S Sreesanth,caught,1
S Sreesanth,lbw,1
S Sreesanth,run out,1
S Sriram,bowled,1
S Sriram,caught,1
S Tyagi,run out,1
S Vidyut,caught,8
SA Abbott,caught,2
SA Abbott,run out,1
SA Asnodkar,bowled,1
SA Asnodkar,caught,11
SA Asnodkar,hit wicket,1
SA Asnodkar,lbw,1
SA Asnodkar,run out,6
SA Yadav,bowled,13
SA Yadav,caught,104
SA Yadav,caught and bowled,4
SA Yadav,lbw,8
SA Yadav,run out,6
SA Yadav,stumped,2
SB Bangar,caught,5
SB Bangar,run out,2
SB Dubey,bowled,1
SB Dubey,caught,8
SB Dubey,lbw,1
SB Jakati,caught,1
SB Joshi,caught,1
SB Joshi,run out,1
SB Styris,bowled,2
SB Styris,caught,4
SB Styris,lbw,1
SB Wagh,caught,1
SB Wagh,run out,1
SC Ganguly,bowled,9
SC Ganguly,caught,37
SC Ganguly,caught and bowled,1
SC Ganguly,lbw,2
SC Ganguly,run out,2
SC Ganguly,stumped,2
SD Chitnis,caught,6
SD Chitnis,run out,1
SD Hope,bowled,1
SD Hope,caught,6
SD Hope,run out,1
SD Lad,bowled,1
SE Bond,bowled,1
SE Marsh,bowled,16
SE Marsh,caught,35
SE Marsh,caught and bowled,3
SE Marsh,lbw,3
SE Marsh,run out,4
SE Marsh,stumped,2
SE Rutherford,bowled,2
SE Rutherford,caught,17
SE Rutherford,lbw,2
SH Johnson,caught,1
SJ Srivastava,bowled,1
SK Raina,bowled,16
SK Raina,caught,116
SK Raina,caught and bowled,9
SK Raina,lbw,7
SK Raina,run out,15
SK Raina,stumped,8
SK Rasheed,caught,4
SK Rasheed,stumped,1
SK Trivedi,bowled,4
SK Trivedi,caught,3
SK Warne,bowled,6
SK Warne,caught,6
SK Warne,run out,5
SK Warne,stumped,3
SL Malinga,bowled,5
SL Malinga,caught,5
SL Malinga,run out,6
SM Curran,bowled,8
SM Curran,caught,24
SM Curran,caught and bowled,2
SM Curran,lbw,3
SM Curran,run out,2
SM Curran,stumped,1
SM Katich,bowled,2
SM Katich,caught,6
SM Katich,run out,2
SM Pollock,bowled,4
SM Pollock,caught,4
SMSM Senanayake,run out,1
SN Khan,bowled,4
SN Khan,caught,24
SN Khan,lbw,2
SN Khan,run out,1
SN Khan,stumped,2
SN Thakur,bowled,2
SN Thakur,caught,19
SN Thakur,lbw,4
SN Thakur,run out,5
SO Hetmyer,bowled,5
SO Hetmyer,caught,45
SO Hetmyer,caught and bowled,1
SO Hetmyer,lbw,1
SO Hetmyer,run out,4
SO Hetmyer,stumped,1
SP Fleming,bowled,2
SP Fleming,caught,5
SP Fleming,lbw,1
SP Fleming,run out,1
SP Goswami,bowled,2
SP Goswami,caught,15
SP Goswami,caught and bowled,1
SP Goswami,run out,2
SP Jackson,bowled,1
SP Jackson,caught,4
SP Jackson,hit wicket,1
SP Narine,bowled,22
SP Narine,caught,66
SP Narine,caught and bowled,2
SP Narine,lbw,3
SP Narine,run out,8
SP Narine,stumped,3
SPD Smith,bowled,17
SPD Smith,caught,45
SPD Smith,caught and bowled,3
SPD Smith,lbw,3
SPD Smith,run out,4
SR Tendulkar,bowled,12
SR Tendulkar,caught,36
SR Tendulkar,caught and bowled,2
SR Tendulkar,lbw,8
SR Tendulkar,run out,6
SR Tendulkar,stumped,3
SR Watson,bowled,36
SR Watson,caught,70
SR Watson,caught and bowled,1
SR Watson,lbw,6
SR Watson,run out,9
SR Watson,stumped,4
SS Cottrell,bowled,1
SS Iyer,bowled,17
SS Iyer,caught,85
SS Iyer,caught and bowled,2
SS Iyer,lbw,7
SS Iyer,run out,4
SS Iyer,stumped,4
SS Prabhudessai,bowled,1
SS Prabhudessai,caught,6
SS Prabhudessai,run out,2
SS Prabhudessai,stumped,1
SS Shaikh,run out,1
SS Tiwary,bowled,4
SS Tiwary,caught,36
SS Tiwary,caught and bowled,1
SS Tiwary,hit wicket,1
SS Tiwary,lbw,3
SS Tiwary,run out,4
SS Tiwary,stumped,3
ST Jayasuriya,bowled,2
ST Jayasuriya,caught,19
ST Jayasuriya,caught and bowled,1
ST Jayasuriya,lbw,5
ST Jayasuriya,run out,1
STR Binny,bowled,6
STR Binny,caught,27
STR Binny,caught and bowled,1
STR Binny,lbw,3
STR Binny,run out,6
STR Binny,stumped,3
SU Parakh,bowled,1
SU Parakh,caught,3
SV Samson,bowled,22
SV Samson,caught,113
SV Samson,caught and bowled,5
SV Samson,lbw,8
SV Samson,run out,9
SV Samson,stumped,6
SW Billings,bowled,3
SW Billings,caught,19
SW Billings,lbw,1
SW Billings,run out,1
SW Billings,stumped,2
SW Tait,bowled,2
SW Tait,stumped,1
Sachin Baby,caught,6
Sachin Baby,caught and bowled,1
Sachin Baby,lbw,1
Sachin Baby,run out,1
Salil Arora,caught,1
Salman Butt,bowled,1
Salman Butt,caught,4
Salman Butt,lbw,2
Sameer Rizvi,bowled,2
Sameer Rizvi,caught,11
Sameer Rizvi,stumped,1
Sandeep Sharma,caught,3
Sandeep Sharma,caught and bowled,1
Sandeep Sharma,lbw,1
Sandeep Sharma,run out,1
Sanvir Singh,bowled,1
Sanvir Singh,caught,1
Saurav Chauhan,caught,2
Saurav Chauhan,lbw,1
Sediqullah Atal,caught,1
Shahbaz Ahmed,bowled,6
Shahbaz Ahmed,caught,19
Shahbaz Ahmed,lbw,2
Shahbaz Ahmed,run out,1
Shahbaz Ahmed,stumped,1
Shahid Afridi,caught,7
Shahid Afridi,lbw,1
Shakib Al Hasan,bowled,10
Shakib Al Hasan,caught,23
Shakib Al Hasan,caught and bowled,1
Shakib Al Hasan,lbw,2
Shakib Al Hasan,run out,5
Shashank Singh,bowled,1
Shashank Singh,caught,16
Shashank Singh,caught and bowled,1
Shashank Singh,lbw,4
Shashank Singh,run out,3
Shivam Mavi,bowled,3
Shivam Mavi,caught,5
Shivam Mavi,stumped,1
Shivam Sharma,bowled,1
Shivang Kumar,bowled,1
Shivang Kumar,caught,5
Shoaib Ahmed,caught,1
Shoaib Ahmed,run out,1
Shoaib Akhtar,caught,1
Shoaib Malik,bowled,1
Shoaib Malik,caught,3
Shubman Gill,bowled,13
Shubman Gill,caught,76
Shubman Gill,caught and bowled,2
Shubman Gill,lbw,8
Shubman Gill,run out,10
Shubman Gill,stumped,5
Sikandar Raza,bowled,1
Sikandar Raza,caught,6
Simarjeet Singh,bowled,2
Simarjeet Singh,lbw,1
Sohail Tanvir,bowled,1
Sohail Tanvir,caught,2
Sumit Kumar,caught,2
Sunny Gupta,stumped,1
Sunny Singh,caught,3
Sunny Singh,run out,1
Suryansh Shedge,caught,7
Swapnil Singh,bowled,1
Swapnil Singh,caught,3
Swapnil Singh,lbw,1
T Banton,bowled,1
T Banton,caught,1
T Dahiya,bowled,1
T Dahiya,caught,1
T Henderson,bowled,1
T Henderson,run out,1
T Kohler-Cadmore,bowled,1
T Kohler-Cadmore,caught,2
T Kohli,caught,2
T Kohli,run out,1
T Stubbs,bowled,4
T Stubbs,caught,14
T Stubbs,lbw,3
T Stubbs,run out,4
T Taibu,caught,2
T Taibu,run out,1
T Thushara,caught,1
T Thushara,run out,1
TA Boult,bowled,3
TA Boult,caught,3
TA Boult,caught and bowled,1
TA Boult,run out,3
TD Paine,bowled,1
TD Paine,caught,1
TG Southee,bowled,3
TG Southee,caught,7
TG Southee,run out,3
TH David,bowled,3
TH David,caught,25
TH David,caught and bowled,1
TH David,lbw,3
TH David,run out,3
TK Curran,bowled,1
TK Curran,caught,4
TL Seifert,bowled,2
TL Seifert,caught,3
TL Seifert,run out,1
TL Suman,bowled,3
TL Suman,caught,22
TL Suman,caught and bowled,2
TL Suman,lbw,2
TL Suman,run out,3
TM Dilshan,bowled,11
TM Dilshan,caught,24
TM Dilshan,lbw,3
TM Dilshan,run out,4
TM Dilshan,stumped,1
TM Head,bowled,9
TM Head,caught,36
TM Head,caught and bowled,1
TM Head,run out,2
TM Srivastava,caught,1
TR Birt,bowled,1
TR Birt,caught,4
TS Mills,bowled,1
TS Mills,caught,3
TU Deshpande,caught,4
Tanush Kotian,bowled,1
Tilak Varma,bowled,8
Tilak Varma,caught,33
Tilak Varma,caught and bowled,1
Tilak Varma,lbw,3
Tilak Varma,run out,6
UA Birla,bowled,1
UBT Chand,bowled,6
UBT Chand,caught,13
UBT Chand,stumped,1
UT Khawaja,caught,3
UT Khawaja,run out,2
UT Khawaja,stumped,1
UT Yadav,bowled,9
UT Yadav,caught,7
UT Yadav,caught and bowled,2
UT Yadav,run out,2
UT Yadav,stumped,1
Umar Gul,caught,2
Umar Gul,run out,1
Umran Malik,lbw,1
Umran Malik,run out,1
Urvil Patel,bowled,2
Urvil Patel,caught,7
Urvil Patel,stumped,1
V Kohli,bowled,43
V Kohli,caught,157
V Kohli,caught and bowled,5
V Kohli,lbw,12
V Kohli,run out,9
V Kohli,stumped,5
V Nigam,bowled,1
V Nigam,caught,3
V Nigam,caught and bowled,1
V Nigam,run out,2
V Nigam,stumped,1
V Pratap Singh,caught,1
V Sehwag,bowled,15
V Sehwag,caught,70
V Sehwag,caught and bowled,2
V Sehwag,lbw,4
V Sehwag,run out,7
V Sehwag,stumped,1
V Shankar,bowled,9
V Shankar,caught,35
V Shankar,lbw,2
V Shankar,run out,1
V Suryavanshi,bowled,3
V Suryavanshi,caught,18
V Suryavanshi,lbw,1
V Suryavanshi,stumped,1
VG Arora,bowled,2
VG Arora,caught,1
VG Arora,run out,1
VH Zol,bowled,1
VH Zol,caught,1
VR Aaron,bowled,1
VR Aaron,caught,2
VR Aaron,run out,2
VR Iyer,bowled,8
VR Iyer,caught,39
VR Iyer,caught and bowled,1
VR Iyer,lbw,3
VR Iyer,run out,1
VR Iyer,stumped,1
VRV Singh,caught,1
VRV Singh,run out,1
VS Malik,bowled,1
VS Yeligati,run out,1
VVS Laxman,bowled,2
VVS Laxman,caught,9
VVS Laxman,caught and bowled,2
VVS Laxman,lbw,1
VVS Laxman,run out,4
VY Mahesh,bowled,1
VY Mahesh,caught,1
Vijaykumar Vyshak,caught,2
Virat Singh,caught,2
Vishnu Vinod,bowled,1
Vishnu Vinod,caught,4
Vishnu Vinod,run out,1
Vivrant Sharma,caught,1
W Jaffer,caught,7
W Jaffer,run out,1
WA Mota,bowled,1
WA Mota,caught,3
WA Mota,lbw,1
WA Mota,run out,1
WD Parnell,bowled,2
WD Parnell,caught,5
WD Parnell,run out,3
WG Jacks,bowled,2
WG Jacks,caught,18
WG Jacks,run out,2
WP Saha,bowled,24
WP Saha,caught,73
WP Saha,caught and bowled,2
