Batter,season,Phase,runs,balls_faced,fours,sixes,strike_rate,boundary_pct
A Symonds,2008,Middle,100,71,9,5,140.85,19.72
A Symonds,2008,Powerplay,23,19,4,0,121.05,21.05
A Symonds,2009,Death,45,23,1,3,195.65,17.39
A Symonds,2009,Middle,184,127,11,8,144.88,14.96
A Symonds,2009,Powerplay,19,13,3,0,146.15,23.08
A Symonds,2010,Death,83,51,5,5,162.75,19.61
A Symonds,2010,Middle,317,243,25,13,130.45,15.64
A Symonds,2010,Powerplay,29,46,5,0,63.04,10.87
A Symonds,2011,Death,72,54,6,2,133.33,14.81
A Symonds,2011,Middle,62,80,3,1,77.5,5.0
A Symonds,2011,Powerplay,1,4,0,0,25.0,0.0
A Tomar,2022,Powerplay,4,8,1,0,50.0,12.5
A Uniyal,2010,Death,4,7,0,0,57.14,0.0
A Zampa,2016,Death,0,1,0,0,0.0,0.0
A Zampa,2017,Middle,5,7,1,0,71.43,14.29
A Zampa,2023,Death,5,5,0,0,100.0,0.0
A Zampa,2023,Middle,5,11,0,0,45.45,0.0
AA Bilakhia,2009,Death,33,25,3,0,132.0,12.0
AA Bilakhia,2009,Middle,11,24,0,0,45.83,0.0
AA Bilakhia,2009,Powerplay,23,31,2,0,74.19,6.45
AA Bilakhia,2010,Death,1,2,0,0,50.0,0.0
AA Bilakhia,2010,Middle,1,2,0,0,50.0,0.0
AA Chavan,2011,Middle,1,3,0,0,33.33,0.0
AA Chavan,2012,Death,11,8,2,0,137.5,25.0
AA Jhunjhunwala,2010,Death,46,29,6,1,158.62,24.14
AA Jhunjhunwala,2010,Middle,118,111,9,2,106.31,9.91
AA Jhunjhunwala,2010,Powerplay,19,26,1,1,73.08,7.69
AA Jhunjhunwala,2011,Middle,5,9,1,0,55.56,11.11
AA Jhunjhunwala,2011,Powerplay,5,8,1,0,62.5,12.5
AA Jhunjhunwala,2012,Death,7,9,1,0,77.78,11.11
AA Jhunjhunwala,2012,Middle,17,17,0,1,100.0,5.88
AA Kulkarni,2024,Powerplay,9,8,2,0,112.5,25.0
AA Kulkarni,2026,Middle,9,12,1,0,75.0,8.33
AA Kulkarni,2026,Powerplay,8,13,0,0,61.54,0.0
AA Noffke,2008,Middle,9,10,1,0,90.0,10.0
AB Agarkar,2008,Death,10,8,1,0,125.0,12.5
AB Agarkar,2008,Middle,24,24,3,0,100.0,12.5
AB Agarkar,2008,Powerplay,20,13,1,2,153.85,23.08
AB Agarkar,2009,Death,46,31,1,3,148.39,12.9
AB Agarkar,2009,Middle,20,26,2,0,76.92,7.69
AB Agarkar,2010,Death,37,26,4,0,142.31,15.38
AB Agarkar,2010,Middle,2,2,0,0,100.0,0.0
AB Agarkar,2011,Death,6,5,1,0,120.0,20.0
AB Agarkar,2013,Death,9,9,0,0,100.0,0.0
AB Agarkar,2013,Middle,3,7,0,0,42.86,0.0
AB Barath,2010,Death,2,5,0,0,40.0,0.0
