Bowler,Opponent,runs_conceded,balls_bowled,overs,economy,wickets
AR Patel,Mumbai Indians,600,456,76.0,7.89,15
AR Patel,Punjab Kings,186,174,29.0,6.41,8
AR Patel,Rajasthan Royals,495,402,67.0,7.39,16
AR Patel,Rising Pune Supergiants,105,78,13.0,8.08,3
AR Patel,Royal Challengers Bengaluru,563,474,79.0,7.13,23
AR Patel,Sunrisers Hyderabad,554,443,73.83333333333333,7.5,18
AS Joseph,Chennai Super Kings,115,88,14.666666666666666,7.84,5
AS Joseph,Delhi Capitals,28,24,4.0,7.0,2
AS Joseph,Kings XI Punjab,21,12,2.0,10.5,0
AS Joseph,Kolkata Knight Riders,90,60,10.0,9.0,3
AS Joseph,Lucknow Super Giants,19,18,3.0,6.33,0
AS Joseph,Mumbai Indians,93,48,8.0,11.62,1
AS Joseph,Punjab Kings,90,66,11.0,8.18,2
AS Joseph,Rajasthan Royals,127,48,8.0,15.88,0
AS Joseph,Royal Challengers Bengaluru,41,24,4.0,10.25,1
AS Joseph,Sunrisers Hyderabad,44,46,7.666666666666667,5.74,7
AS Rajpoot,Chennai Super Kings,26,30,5.0,5.2,2
AS Rajpoot,Delhi Daredevils,21,24,4.0,5.25,2
AS Rajpoot,Gujarat Lions,27,18,3.0,9.0,1
AS Rajpoot,Kings XI Punjab,64,43,7.166666666666667,8.93,1
AS Rajpoot,Kolkata Knight Riders,65,42,7.0,9.29,1
AS Rajpoot,Mumbai Indians,300,174,29.0,10.34,7
AS Rajpoot,Rajasthan Royals,66,42,7.0,9.43,3
AS Rajpoot,Rising Pune Supergiants,13,12,2.0,6.5,1
AS Rajpoot,Royal Challengers Bengaluru,114,73,12.166666666666666,9.37,0
AS Rajpoot,Sunrisers Hyderabad,65,72,12.0,5.42,6
AS Raut,Deccan Chargers,20,12,2.0,10.0,0
AS Raut,Delhi Daredevils,10,6,1.0,10.0,0
AS Raut,Kings XI Punjab,8,6,1.0,8.0,0
AS Raut,Royal Challengers Bengaluru,6,6,1.0,6.0,0
AS Roy,Chennai Super Kings,43,40,6.666666666666667,6.45,2
AS Roy,Delhi Capitals,93,84,14.0,6.64,6
